0000044704	KRAKOWSKIE TOWARZYSTWO OPIEKI NAD ZWIERZĘTAMI	1334271.10
0000191989	FUNDACJA ''WCZEŚNIAK RODZICE RODZICOM''	1315775.63
0000198645	CARITAS POLSKA	1312523.14
0000183283	FUNDACJA ''ŚWIATŁO''	1258431.67
0000306549	FUNDACJA ŚWIĘTEGO BARNABY	1236094.81
0000109866	FUNDACJA GAJUSZ	1231564.57
0000135921	FUNDACJA POLSAT	1226782.33
0000382243	FUNDACJA POMOCY DZIECIOM I OSOBOM CHORYM ''KAWAŁEK NIEBA''	1178800.67
0000211791	CARITAS DIECEZJI TARNOWSKIEJ	1161712.52
0000018926	REGIONALNA FUNDACJA POMOCY NIEWIDOMYM	1141785.43
0000201002	FUNDACJA HOSPICYJNA	1138417.51
0000040314	SPOŁECZNE TOWARZYSTWO ''HOSPICJUM CORDIS''	1136259.55
0000032355	STOWARZYSZENIE RODZIN I OPIEKUNÓW OSÓB Z ZESPOŁEM DOWNA ''BARDZIEJ KOCHANI''	1135098.68
0000136833	POLSKA AKCJA HUMANITARNA	1111675.67
0000052078	STOWARZYSZENIE POMOCY SZKOLE MAŁOPOLSKA	1101404.33
0000273196	OPOLSKIE STOWARZYSZENIE REHABILITACJI NEUROLOGICZNEJ I FUNKCJONALNEJ	1085821.69
0000023852	FUNDACJA POMOCY DZIECIOM Z CHOROBAMI NOWOTWOROWYMI W POZNANIU	1085802.49
0000234513	FUNDACJA ZACHODNIOPOMORSKIE HOSPICJUM DLA DZIECI I DOROSŁYCH	1079958.15
0000269884	ŚLĄSKIE STOWARZYSZENIE CHORYCH NA SM SEZAM	1077156.86
0000197334	FUNDACJA PARTNERSTWO	1057516.34
0000225394	FUNDACJA OTWÓRZ SERCE	1053862.85
0000326128	FUNDACJA POMOCY OSOBOM Z ZABURZENIAMI ZE SPEKTRUM AUTYZMU ORAZ ICH RODZINOM ''SILENTIO''	1050003.82
0000396361	FUNDACJA SIEPOMAGA	1032619.10
0000207658	CARITAS ARCHIDIECEZJI KRAKOWSKIEJ	1032601.65
0000050905	STOWARZYSZENIE WIOSNA	1011854.46
0000142952	FUNDACJA SPLOTU RAMIENNEGO	998398.78
0000165702	FUNDACJA DLA DZIECI Z CHOROBAMI NOWOTWOROWYMI ''KRWINKA''	979035.55
0000203313	KRAKOWSKIE HOSPICJUM DLA DZIECI IMIENIA KSIĘDZA JÓZEFA TISCHNERA	954541.13
0000272272	FUNDACJA VOTUM	950640.89
0000020382	STOWARZYSZENIE ''SURSUM CORDA''	886294.71
0000318602	FUNDACJA DKMS BAZA DAWCÓW KOMÓREK MACIERZYSTYCH POLSKA	884924.19
0000309499	PALLOTYŃSKA FUNDACJA MISYJNA SALVATTI.PL	865906.18
0000127204	FUNDACJA RADIA ZET	861691.13
0000090215	FUNDACJA ''PROMYK SŁOŃCA''	839881.50
0000148747	FUNDACJA ''PRZYSZŁOŚĆ DLA DZIECI''	837302.94
