0000037904	FUNDACJA DZIECIOM ''ZDĄŻYĆ Z POMOCĄ''	144082857.97
0000186434	FUNDACJA POMOCY OSOBOM NIEPEŁNOSPRAWNYM ''SŁONECZKO''	25035800.02
0000270809	AVALON - BEZPOŚREDNIA POMOC NIEPEŁNOSPRAWNYM	20872841.93
0000207472	FUNDACJA ''ROSA''	12211680.35
0000270261	FUNDACJA STUDENCKA ''MŁODZI - MŁODYM''	10082693.77
0000050135	DOLNOŚLĄSKA FUNDACJA ROZWOJU OCHRONY ZDROWIA	7392446.38
0000266644	FUNDACJA SERCE DZIECKA IM. DINY RADZIWIŁŁOWEJ	6401561.88
0000086210	FUNDACJA ''NA RATUNEK DZIECIOM Z CHOROBĄ NOWOTWOROWĄ''	5941120.68
0000249753	FUNDACJA ''NASZE DZIECI'' PRZY KLINICE ONKOLOGII W INSTYTUCIE ''POMNIK-CENTRUM ZDROWIA DZIECKA''	5418458.25
0000285433	FUNDACJA DZIECIOM ''POMAGAJ''	5146785.60
0000091141	FUNDACJA ''NASZA PRZYSZŁOŚĆ''	4908900.88
0000338878	DOBRO POWRACA - FUNDACJA NA RZECZ CHORYCH NA STWARDNIENIE ROZSIANE	4481380.45
0000174486	FUNDACJA ANNY DYMNEJ MIMO WSZYSTKO	4459571.45
0000030897	FUNDACJA WIELKA ORKIESTRA ŚWIĄTECZNEJ POMOCY	4145814.27
0000069730	OGÓLNOPOLSKIE TOWARZYSTWO OCHRONY ZWIERZĄT OTOZ ''ANIMALS''	4076423.50
0000083356	POLSKIE TOWARZYSTWO STWARDNIENIA ROZSIANEGO	3962001.41
0000382243	FUNDACJA POMOCY DZIECIOM I OSOBOM CHORYM ''KAWAŁEK NIEBA''	3908399.40
0000338389	FUNDACJA SEDEKA	3891220.67
0000116212	ZWIĄZEK OCHOTNICZYCH STRAŻY POŻARNYCH RZECZYPOSPOLITEJ POLSKIEJ	3690856.97
0000308316	FUNDACJA ''ZŁOTOWIANKA''	3689184.33
0000154454	TOWARZYSTWO OPIEKI NAD ZWIERZĘTAMI W POLSCE	3686140.27
0000127075	FUNDACJA ''JAŚ I MAŁGOSIA''	3582883.50
0000097123	FUNDACJA WARSZAWSKIE HOSPICJUM DLA DZIECI	3577268.91
0000056901	STOWARZYSZENIE ''SOS WIOSKI DZIECIĘCE W POLSCE''	3273379.53
